RK,Player,Team,Position,AVG
187,Parris Campbell,IND ,WR,191.4
188,Mo Alie-Cox,IND ,TE,194.6
189,Matt Gay,LAR ,K,194.8
190,DJ Chark Jr.,DET ,WR,195.4
191,D'Ernest Johnson,CLE ,RB,196.0
192,Austin Hooper,,TEN TE,197.8
193,Tyler Bass,BUF ,K,198.4
194,KJ Hamler,DEN ,WR,199.2
195,Gus Edwards,BAL ,RB,202.6
196,Davis Mills,HOU ,QB,203.6
197,J.D. McKissic,WAS ,RB,203.8
198,Kansas City Chiefs,KC ,DST,204.4
199,Christian Watson,GB ,WR,205.0
200,Evan Engram,JAC ,TE,205.4
201,Logan Thomas,WAS ,TE,205.8
202,D'Onta Foreman,CAR ,RB,207.0
203,Cleveland Browns,CLE ,DST,209.8
204,Mecole Hardman,KC ,WR,209.8
205,Carson Wentz,WAS ,QB,210.8
206,Green Bay Packers,GB ,DST,211.0
207,Marlon Mack,HOU ,RB,211.4
208,Miami Dolphins,MIA ,DST,213.8
209,Van Jefferson,LAR ,WR,214.6
210,Baker Mayfield,CAR ,QB,214.8
211,Los Angeles Chargers,LAC ,DST,215.6
212,Alec Pierce,IND ,WR,216.8
213,Rodrigo Blankenship,IND ,K,216.8
214,Marvin Jones Jr.,JAC ,WR,217.0
215,Matt Prater,ARI ,K,217.8
216,Corey Davis,NYJ ,WR,218.2
217,Daniel Carlson,LV ,K,219.4
218,Jeff Wilson Jr.,SF ,RB,221.6
219,Robbie Anderson,CAR ,WR,221.8
220,Trey Sermon,SF ,RB,222.2
221,Donovan Peoples-Jones,CLE ,WR,222.2
222,Ryan Succop,TB ,K,222.4
223,Pittsburgh Steelers,PIT ,DST,223.0
224,Kendrick Bourne,NE ,WR,225.2
225,Evan McPherson,CIN ,K,226.4
226,Zach Wilson,NYJ ,QB,227.0
227,Tyler Conklin,NYJ ,TE,231.0
228,Cincinnati Bengals,CIN ,DST,232.4
229,William Fuller V,FA ,WR,233.4
230,Damien Williams,ATL ,RB,235.6
231,Curtis Samuel,WAS ,WR,235.8
232,Zay Jones,JAC ,WR,237.2
233,Robbie Gould,SF ,K,237.4
234,A.J. Green,ARI ,WR,237.4
235,Younghoe ,"Koo
                                            
                                            
                                                ",ATL K,239.2
236,Philadelphia Eagles,PHI ,DST,239.2
237,Jason Sanders,MIA ,K,243.8
238,Harrison Butker,,KC K,206.75
239,Greg Zuerlein,NYJ ,K,245.4
240,Carolina Panthers,CAR ,DST,248.4
241,Laviska Shenault Jr.,JAC ,WR,248.6
242,Samaje Perine,CIN ,RB,213.0
243,Eno Benjamin,ARI ,RB,214.25
244,Dustin Hopkins,LAC ,K,252.4
245,Tennessee Titans,TEN ,DST,252.8
246,Sammy Watkins,GB ,WR,255.8
247,Brandon McManus,DEN ,K,257.6
248,Marcus Mariota,ATL ,QB,258.8
249,Wil Lutz,NO ,K,259.0
250,Jake Elliott,PHI ,K,259.6
251,Trey McBride,ARI ,TE,259.8
252,Chris Boswell,PIT ,K,260.0
253,Byron Pringle,CHI ,WR,260.4
254,Cedrick Wilson Jr.,MIA ,WR,262.2
255,Chuba Hubbard,CAR ,RB,265.0
256,Jonnu Smith,NE ,TE,265.0
257,Nick Folk,NE ,K,234.0
258,Jerick McKinnon,KC ,RB,234.75
259,David Bell,CLE ,WR,235.25
260,Arizona Cardinals,ARI ,DST,268.0
261,Jamison Crowder,BUF ,WR,236.75
262,Joshua Kelley,LAC ,RB,185.33333333333334
263,Mason Crosby,GB ,K,269.8
264,Boston Scott,PHI ,RB,240.0
265,Chris Evans,CIN ,RB,241.0
266,Zack Moss,BUF ,RB,272.6
267,Ronald Jones II,KC ,RB,273.2
268,Nelson Agholor,NE ,WR,273.6
269,Daniel Bellinger,NYG ,TE,244.25
270,Dan Arnold,JAC ,TE,278.8
271,Randall Cobb,GB ,WR,252.75
272,Hassan Haskins,TEN ,RB,255.5
273,Terrace Marshall Jr.,CAR ,WR,255.75
274,Minnesota Vikings,MIN ,DST,283.6
275,Odell Beckham Jr.,FA ,WR,257.5
276,Chicago Bears,CHI ,DST,285.2
277,Braxton Berrios,NYJ ,WR,259.75
278,C.J. Uzomah,NYJ ,TE,288.6
279,Jaylen Warren,PIT ,RB,263.75
280,Rex Burkhead,HOU ,RB,264.0
281,Kyle Philips,TEN ,WR,264.25
282,Graham Gano,NYG ,K,294.2
283,Mike Davis,BAL ,RB,270.0
284,Cameron Brate,TB ,TE,275.0
285,Jason Myers,SEA ,K,275.5
286,Ameer Abdullah,LV ,RB,237.66666666666666
287,Washington Commanders,WAS ,DST,300.4
288,Mitch Trubisky,PIT ,QB,300.4
289,Kenny Pickett,PIT ,QB,301.4
290,Kyle Rudolph,TB ,TE,278.75
291,Adam Trautman,NO ,TE,301.8
292,Jacoby Brissett,CLE ,QB,279.25
293,Dontrell Hilliard,TEN ,RB,242.66666666666666
294,Sterling Shepard,NYG ,WR,280.75
295,Ty Montgomery,NE ,RB,244.33333333333334
296,Kenyan Drake,FA ,RB,284.5
297,Nick Westbrook-Ikhine,TEN ,WR,252.66666666666666
298,Harrison Bryant,CLE ,TE,288.5
299,Bryan Edwards,ATL ,WR,289.25
300,Tyler Badie,BAL ,RB,290.5
301,Detroit Lions,DET ,DST,313.4
302,Ke'Shawn Vaughn,TB ,RB,293.5
303,New York Giants,NYG ,DST,315.2
304,Seattle Seahawks,SEA ,DST,315.4
305,Greg Dulcich,DEN ,TE,299.75
306,New York Jets,NYJ ,DST,301.5
307,Snoop Conner,JAC ,RB,301.75
308,Devin Duvernay,BAL ,WR,271.3333333333333
309,Giovani Bernard,TB ,RB,214.0
310,Tommy Tremble,CAR ,TE,304.25
311,Greg Joseph,MIN ,K,274.6666666666667
312,Cairo Santos,CHI ,K,304.5
313,Marquez Callaway,NO ,WR,276.3333333333333
314,Phillip Lindsay,IND ,RB,307.5
315,,"Ka'imi Fairbairn
                                            
                                            
                                                ",HOU K,310.0
316,Isaiah Likely,BAL ,TE,284.0
317,John Bates,WAS ,TE,290.0
318,Jacksonville Jaguars,JAC ,DST,316.0
319,Juwan Johnson,NO ,TE,316.75
320,Pierre Strong Jr.,NE ,RB,291.3333333333333
321,Las Vegas Raiders,LV ,DST,317.0
322,Desmond Ridder,ATL ,QB,333.0
323,Trestan Ebner,CHI ,RB,243.0
324,O.J. Howard,BUF ,TE,320.5
325,Danny Gray,SF ,WR,296.3333333333333
326,Donald Parham Jr.,LAC ,TE,321.25
327,James Proche II,BAL ,WR,298.0
328,Randy Bullock,TEN ,K,300.3333333333333
329,Foster Moreau,LV ,TE,324.0
330,Velus Jones Jr.,CHI ,WR,301.0
331,Atlanta Falcons,ATL ,DST,324.5
332,Josh Reynolds,DET ,WR,303.6666666666667
333,Matt Breida,NYG ,RB,307.3333333333333
334,Brett Maher,DAL ,K,265.0
335,Houston Texans,HOU ,DST,330.0
336,Drew Lock,SEA ,QB,343.6
337,Deonte Harty,NO ,WR,268.5
338,Jelani Woods,IND ,TE,311.3333333333333
339,Quez Watkins,PHI ,WR,311.3333333333333
340,Jimmy Garoppolo,SF ,QB,332.75
341,Josiah Deguara,GB ,TE,335.75
342,Anthony Firkser,ATL ,TE,336.0
343,Mack Hollins,LV ,WR,278.5
344,Tyquan Thornton,NE ,WR,317.6666666666667
345,Kyren Williams,LAR ,RB,318.0
346,Geno Smith,SEA ,QB,320.0
347,Jerome Ford,CLE ,RB,338.5
348,Khalil Shakir,BUF ,WR,322.3333333333333
349,Malik Willis,TEN ,QB,341.0
350,Tutu Atwell,LAR ,WR,326.0
351,Salvon Ahmed,MIA ,RB,327.3333333333333
352,Justin Watson,KC ,WR,327.6666666666667
353,Benny Snell Jr.,PIT ,RB,297.0
354,Keaontay Ingram,ARI ,RB,335.0
355,Chase McLaughlin,FA ,K,307.5
356,Austin Seibert,DET ,K,310.5
357,Abram Smith,NO ,RB,338.3333333333333
358,Amari Rodgers,GB ,WR,312.0
359,Pharaoh Brown,HOU ,TE,340.0
360,Noah Brown,DAL ,WR,313.5
361,Kene Nwangwu,MIN ,RB,340.6666666666667
362,Ty Johnson,NYJ ,RB,316.0
363,Myles Gaskin,MIA ,RB,316.5
364,Jalen Guyton,LAC ,WR,317.5
365,Calvin Austin III,PIT ,WR,319.5
366,Jalen Reagor,PHI ,WR,348.3333333333333
367,Kylen Granson,IND ,TE,352.0
368,Sam Darnold,CAR ,QB,362.75
369,Jauan Jennings,SF ,WR,332.0
370,Josh Lambo,FA ,K,279.0
371,Justin Jackson,DET ,RB,356.0
372,Equanimeous St. Brown,CHI ,WR,337.5
373,Tre'Quan Smith,NO ,WR,338.0
374,Darius Slayton,NYG ,WR,357.6666666666667
375,Cade Otton,TB ,TE,358.3333333333333
376,Tristan Vizcaino,NE ,K,288.0
377,Darrynton Evans,CHI ,RB,360.0
378,Kalif Raymond,DET ,WR,293.0
379,Taysom Hill,NO ,TE,294.0
380,Quinn Nordin,FA ,K,294.0
381,Tony Jones Jr.,NO ,RB,296.0
382,Ty Chandler,MIN ,RB,300.0
383,Dyami Brown,WAS ,WR,347.0
384,Tevin Coleman,NYJ ,RB,363.0
385,Zach Pascal,PHI ,WR,306.0
386,Durham Smythe,MIA ,TE,351.0
387,Rico Dowdle,DAL ,RB,312.0
388,Geoff Swaim,,TEN TE,319.0
389,Travis Homer,SEA ,RB,327.0
390,Jashaun Corbin,NYG ,RB,327.0
391,Anthony McFarland Jr.,PIT ,RB,329.0
392,Mike Boone,DEN ,RB,331.0
393,Mataeo Durant,FA ,RB,331.0
394,Jonathan Garibay,FA ,K,332.0
395,Jeremy Ruckert,NYJ ,TE,363.5
396,Justice Hill,BAL ,RB,335.0
