RK,Player,Team,Position,AVG,Min,Max
150,Isaiah Spiller,LAC ,RB,156.4,92.0,236.0
151,Buffalo Bills,BUF ,DST,157.8,155.0,168.0
152,J.D. McKissic,WAS ,RB,159.0,108.0,254.0
153,K.J. Osborn,MIN ,WR,166.8,129.0,203.0
154,Wan'Dale Robinson,NYG ,WR,166.8,145.0,203.0
155,Robert Tonyan,GB ,TE,167.0,141.0,182.0
156,Tampa Bay Buccaneers,TB ,DST,167.4,155.0,198.0
157,Brevin Jordan,HOU ,TE,168.0,153.0,190.0
158,San Francisco 49ers,SF ,DST,168.2,153.0,180.0
159,Jameis Winston,NO ,QB,169.4,125.0,193.0
160,Darrel Williams,ARI ,RB,169.8,127.0,283.0
161,Tyler Allgeier,ATL ,RB,170.8,131.0,274.0
162,Matt Ryan,IND ,QB,171.0,160.0,191.0
163,Kenny Golladay,NYG ,WR,171.2,130.0,208.0
164,Nico Collins,HOU ,WR,172.4,137.0,196.0
165,Justin Tucker,BAL ,K,174.6,173.0,175.0
166,New Orleans Saints,NO ,DST,175.6,162.0,211.0
167,Mac Jones,NE ,QB,177.4,163.0,202.0
168,Tyler Higbee,LAR ,TE,177.6,164.0,209.0
169,Daniel Jones,NYG ,QB,178.6,158.0,241.0
170,Parris Campbell,IND ,WR,179.6,146.0,210.0
171,Michael Gallup,DAL ,WR,179.8,133.0,220.0
172,Denver Broncos,DEN ,DST,180.4,154.0,207.0
173,Jameson Williams,DET ,WR,181.2,145.0,214.0
174,Mark Ingram II,NO ,RB,181.2,147.0,264.0
175,Indianapolis Colts,IND ,DST,182.4,164.0,230.0
176,Romeo Doubs,GB ,WR,182.6,148.0,220.0
177,Tyrion Davis-Price,SF ,RB,182.6,155.0,227.0
178,Los Angeles Rams,LAR ,DST,185.0,159.0,213.0
179,New England Patriots,NE ,DST,185.8,156.0,225.0
180,Hayden Hurst,CIN ,TE,189.2,135.0,282.0
181,Dallas Cowboys,DAL ,DST,189.2,164.0,207.0
182,Baltimore Ravens,BAL ,DST,189.4,164.0,225.0
183,Zamir White,LV ,RB,190.0,147.0,245.0
184,Sony Michel,MIA ,RB,192.6,115.0,283.0
185,Raheem Mostert,MIA ,RB,193.4,158.0,233.0
186,DJ Chark Jr.,DET ,WR,194.0,148.0,223.0
187,Austin Hooper,,TEN TE,195.4,165.0,234.0
188,D'Ernest Johnson,CLE ,RB,195.8,131.0,238.0
189,KJ Hamler,DEN ,WR,195.8,150.0,242.0
190,Matt Gay,LAR ,K,196.8,181.0,233.0
191,Jared Goff,DET ,QB,197.8,163.0,275.0
192,Tyler Bass,BUF ,K,199.8,184.0,221.0
193,Marvin Jones Jr.,JAC ,WR,200.6,152.0,240.0
194,Mecole Hardman,KC ,WR,201.0,171.0,268.0
195,Christian Watson,GB ,WR,202.8,148.0,240.0
196,Mo Alie-Cox,IND ,TE,203.4,166.0,246.0
197,Kansas City Chiefs,KC ,DST,206.4,169.0,248.0
198,Corey Davis,NYJ ,WR,206.8,149.0,231.0
199,Robbie Anderson,CAR ,WR,208.6,195.0,231.0
200,Alec Pierce,IND ,WR,209.8,152.0,266.0
201,Logan Thomas,WAS ,TE,209.8,179.0,260.0
202,Ryan Tannehill,TEN ,QB,210.2,168.0,254.0
203,Samaje Perine,CIN ,RB,211.4,131.0,274.0
204,Green Bay Packers,GB ,DST,212.2,200.0,230.0
205,Cleveland Browns,CLE ,DST,212.4,157.0,248.0
206,Evan Engram,JAC ,TE,215.4,165.0,258.0
207,Miami Dolphins,MIA ,DST,216.2,169.0,250.0
208,Deshaun Watson,CLE ,QB,216.8,178.0,314.0
209,Rodrigo Blankenship,IND ,K,217.8,191.0,239.0
210,Matt Prater,ARI ,K,218.8,189.0,239.0
211,Van Jefferson,LAR ,WR,218.8,194.0,240.0
212,David Bell,CLE ,WR,218.8,195.0,261.0
213,Zay Jones,JAC ,WR,219.6,194.0,243.0
214,Los Angeles Chargers,LAC ,DST,220.0,156.0,279.0
215,D'Onta Foreman,CAR ,RB,220.6,177.0,316.0
216,Daniel Carlson,LV ,K,221.4,179.0,249.0
217,Jeff Wilson Jr.,SF ,RB,222.8,154.0,310.0
218,Marlon Mack,HOU ,RB,223.6,174.0,307.0
219,Ryan Succop,TB ,K,223.6,191.0,251.0
220,Pittsburgh Steelers,PIT ,DST,224.2,200.0,234.0
221,Gus Edwards,BAL ,RB,224.6,147.0,259.0
222,Kendrick Bourne,NE ,WR,225.4,188.0,269.0
223,Joshua Kelley,LAC ,RB,225.8,152.0,280.0
224,Donovan Peoples-Jones,CLE ,WR,227.4,216.0,259.0
225,Evan McPherson,CIN ,K,228.4,204.0,291.0
226,Curtis Samuel,WAS ,WR,228.6,203.0,262.0
