RK,Player,Team,Position,AVG,Min,Max
271,Byron Pringle,CHI ,WR,256.0,199.0,287.0
272,Hassan Haskins,TEN ,RB,235.0,184.0,277.0
273,Terrace Marshall Jr.,CAR ,WR,257.0,201.0,306.0
274,Mike Davis,BAL ,RB,236.0,215.0,256.0
275,Chicago Bears,CHI ,DST,273.2,223.0,297.0
276,Cedrick Wilson Jr.,MIA ,WR,261.25,235.0,293.0
277,Randall Cobb,GB ,WR,241.33333333333334,218.0,263.0
278,Nelson Agholor,NE ,WR,243.66666666666666,224.0,262.0
279,Dan Arnold,JAC ,TE,263.75,239.0,290.0
280,Zack Moss,BUF ,RB,264.75,238.0,294.0
281,Odell Beckham Jr.,FA ,WR,265.0,233.0,294.0
282,Jonnu Smith,NE ,TE,265.25,234.0,288.0
283,Kyle Philips,TEN ,WR,265.5,259.0,277.0
284,Minnesota Vikings,MIN ,DST,277.2,243.0,299.0
285,Isaiah Likely,BAL ,TE,250.33333333333334,230.0,264.0
286,Jason Myers,SEA ,K,270.5,217.0,298.0
287,Nick Westbrook-Ikhine,TEN ,WR,254.33333333333334,240.0,265.0
288,Marcus Mariota,ATL ,QB,275.75,251.0,320.0
289,Graham Gano,NYG ,K,287.2,266.0,305.0
290,Greg Joseph,MIN ,K,264.3333333333333,223.0,286.0
291,Washington Commanders,WAS ,DST,289.0,265.0,305.0
292,Cameron Brate,TB ,TE,239.5,226.0,253.0
293,Devin Duvernay,BAL ,WR,267.6666666666667,261.0,280.0
294,Jaylen Warren,PIT ,RB,268.0,236.0,296.0
295,Kenyan Drake,FA ,RB,261.5,166.0,357.0
296,C.J. Uzomah,NYJ ,TE,284.0,248.0,309.0
297,Matt Breida,NYG ,RB,271.6666666666667,231.0,298.0
298,Trestan Ebner,CHI ,RB,250.0,233.0,267.0
299,Phillip Lindsay,IND ,RB,275.0,251.0,317.0
300,New York Jets,NYJ ,DST,291.75,273.0,310.0
301,Brett Maher,DAL ,K,261.0,247.0,275.0
302,New York Giants,NYG ,DST,300.6,285.0,335.0
303,Harrison Bryant,CLE ,TE,282.0,248.0,303.0
304,Seattle Seahawks,SEA ,DST,298.8,275.0,325.0
305,Pierre Strong Jr.,NE ,RB,263.0,230.0,296.0
306,Adam Trautman,NO ,TE,289.3333333333333,229.0,341.0
307,Kenny Pickett,PIT ,QB,299.25,268.0,347.0
308,Greg Dulcich,DEN ,TE,289.3333333333333,264.0,338.0
309,Josh Reynolds,DET ,WR,265.5,265.0,266.0
310,Kyle Rudolph,TB ,TE,285.0,279.0,290.0
311,Detroit Lions,DET ,DST,294.5,281.0,314.0
312,Jacoby Brissett,CLE ,QB,297.25,270.0,331.0
313,Randy Bullock,TEN ,K,288.0,269.0,304.0
314,Tommy Tremble,CAR ,TE,289.6666666666667,263.0,321.0
315,Ke'Shawn Vaughn,TB ,RB,290.6666666666667,253.0,318.0
316,Myles Gaskin,MIA ,RB,293.0,228.0,358.0
317,Cairo Santos,CHI ,K,276.5,271.0,282.0
318,,"Ka'imi Fairbairn
                                            
                                            
                                                ",HOU K,292.3333333333333,272.0,320.0
319,Las Vegas Raiders,LV ,DST,304.0,279.0,337.0
320,John Bates,WAS ,TE,293.6666666666667,277.0,303.0
321,Noah Brown,DAL ,WR,242.0,242.0,242.0
322,Mack Hollins,LV ,WR,283.0,259.0,307.0
323,Jacksonville Jaguars,JAC ,DST,303.0,287.0,319.0
324,Chase McLaughlin,FA ,K,284.5,277.0,292.0
325,Atlanta Falcons,ATL ,DST,297.6666666666667,286.0,311.0
326,Ty Johnson,NYJ ,RB,249.0,249.0,249.0
327,Anthony Firkser,ATL ,TE,250.0,250.0,250.0
328,Danny Gray,SF ,WR,258.0,258.0,258.0
329,Snoop Conner,JAC ,RB,291.5,275.0,308.0
330,Jelani Woods,IND ,TE,292.0,270.0,314.0
331,James Proche II,BAL ,WR,293.0,284.0,302.0
332,O.J. Howard,BUF ,TE,304.5,267.0,342.0
333,Marquez Callaway,NO ,WR,268.0,268.0,268.0
334,Josh Lambo,FA ,K,269.0,269.0,269.0
335,Tristan Vizcaino,NE ,K,276.0,276.0,276.0
336,Malik Willis,TEN ,QB,300.5,280.0,321.0
337,Houston Texans,HOU ,DST,315.3333333333333,287.0,343.0
338,Khalil Shakir,BUF ,WR,281.0,281.0,281.0
339,Bryan Edwards,ATL ,WR,282.0,282.0,282.0
340,Quinn Nordin,FA ,K,282.0,282.0,282.0
341,Kalif Raymond,DET ,WR,283.0,283.0,283.0
342,Austin Seibert,DET ,K,283.0,283.0,283.0
343,Josiah Deguara,GB ,TE,303.0,293.0,313.0
344,Desmond Ridder,ATL ,QB,321.0,300.0,356.0
345,Deonte Harty,NO ,WR,285.0,285.0,285.0
346,Jerome Ford,CLE ,RB,286.0,286.0,286.0
347,Donald Parham Jr.,LAC ,TE,304.5,301.0,308.0
348,Abram Smith,NO ,RB,289.0,289.0,289.0
349,Mitch Trubisky,PIT ,QB,313.3333333333333,294.0,328.0
350,Geno Smith,SEA ,QB,316.5,289.0,344.0
351,Velus Jones Jr.,CHI ,WR,292.0,292.0,292.0
352,Jimmy Garoppolo,SF ,QB,324.5,295.0,354.0
353,Jalen Reagor,PHI ,WR,297.0,297.0,297.0
354,Tyler Badie,BAL ,RB,311.5,297.0,326.0
355,Drew Lock,SEA ,QB,326.6666666666667,299.0,359.0
356,Quez Watkins,PHI ,WR,300.0,300.0,300.0
357,Kene Nwangwu,MIN ,RB,300.0,300.0,300.0
358,Tyler Huntley,BAL ,QB,301.0,301.0,301.0
359,Tyrod Taylor,NYG ,QB,302.0,302.0,302.0
360,Sam Darnold,CAR ,QB,303.0,303.0,303.0
361,Foster Moreau,LV ,TE,306.0,306.0,306.0
362,Benny Snell Jr.,PIT ,RB,306.0,306.0,306.0
363,Equanimeous St. Brown,CHI ,WR,311.0,311.0,311.0
364,Travis Homer,SEA ,RB,312.0,312.0,312.0
365,Jauan Jennings,SF ,WR,313.0,313.0,313.0
366,Taysom Hill,NO ,TE,315.0,315.0,315.0
367,Juwan Johnson,NO ,TE,324.0,315.0,333.0
368,Pharaoh Brown,HOU ,TE,319.0,319.0,319.0
369,Amari Rodgers,GB ,WR,323.0,323.0,323.0
370,Kyren Williams,LAR ,RB,324.0,324.0,324.0
371,Darius Slayton,NYG ,WR,327.0,327.0,327.0
372,DeeJay Dallas,SEA ,RB,329.0,329.0,329.0
373,Anthony McFarland Jr.,PIT ,RB,330.0,330.0,330.0
374,Justin Watson,KC ,WR,332.0,332.0,332.0
375,Jake Ferguson,DAL ,TE,334.0,334.0,334.0
376,Ben Skowronek,LAR ,WR,336.0,336.0,336.0
377,Tutu Atwell,LAR ,WR,339.0,339.0,339.0
378,Chris Conley,HOU ,WR,340.0,340.0,340.0
379,Tyquan Thornton,NE ,WR,345.0,345.0,345.0
380,Mike Boone,DEN ,RB,346.0,346.0,346.0
381,Quintez Cephus,DET ,WR,348.0,348.0,348.0
382,Jalen Guyton,LAC ,WR,349.0,349.0,349.0
383,Trent Sherfield,MIA ,WR,350.0,350.0,350.0
384,Jamal Agnew,JAC ,WR,351.0,351.0,351.0
385,Justice Hill,BAL ,RB,352.0,352.0,352.0
386,Larry Rountree III,LAC ,RB,353.0,353.0,353.0
387,Julius Chestnut,TEN ,RB,355.0,355.0,355.0
