RK,Player,Team,Position,AVG,MIN,MAX,STD DEV
198,Tyquan Thornton,NE,WR,206.8,151,240,19.0
199,Mecole Hardman,KC,WR,207.1,194,240,11.7
200,Darius Slayton,NYG,WR,207.1,186,243,19.3
201,Parris Campbell,IND,WR,207.7,187,242,18.3
202,New Orleans Saints,NO,DST,207.8,170,225,16.3
203,Juwan Johnson,NO,TE,208.8,142,260,37.4
204,Robert Woods,HOU,WR,210.1,186,262,25.5
205,James Robinson,FA,RB,210.7,183,256,24.2
206,Cincinnati Bengals,CIN,DST,211.6,200,248,18.5
207,Los Angeles Rams,LAR,DST,211.9,169,234,18.0
208,David Bell,CLE,WR,213.6,186,261,18.0
209,DeVante Parker,NE,WR,213.7,196,263,18.8
210,Kansas City Chiefs,KC,DST,214.0,200,234,11.6
211,Isaiah Likely,BAL,TE,216.3,167,267,29.2
212,Terrace Marshall Jr.,CAR,WR,216.4,210,231,5.6
213,Jelani Woods,IND,TE,216.7,144,282,42.6
214,Pittsburgh Steelers,PIT,DST,218.2,207,234,8.1
215,Marquez Valdes-Scantling,KC,WR,219.0,205,245,13.8
216,Nick Folk,NE,K,219.2,215,231,5.1
217,Younghoe Koo,ATL,K,222.6,215,249,11.0
218,Nyheim Hines,BUF,RB,222.7,176,308,43.7
219,Taysom Hill,NO,TE,224.3,179,265,32.3
220,Gus Edwards,BAL,RB,225.3,198,272,25.1
221,Isaiah McKenzie,BUF,WR,225.7,206,263,19.4
222,Ryan Tannehill,TEN,QB,225.8,193,284,34.4
223,Robbie Gould,FA,K,227.2,215,247,8.3
224,Jason Sanders,MIA,K,227.7,221,239,6.3
225,Corey Davis,NYJ,WR,228.4,212,270,18.3
226,Ryan Succop,TB,K,228.5,215,251,9.5
227,Los Angeles Chargers,LAC,DST,228.8,201,248,13.4
228,Cleveland Browns,CLE,DST,230.5,213,253,11.0
229,Washington Commanders,WAS,DST,230.9,207,303,28.7
230,John Metchie III,HOU,WR,231.3,194,262,17.6
231,Indianapolis Colts,IND,DST,231.7,164,266,28.6
232,Zay Flowers,FA,WR,206.4,121,270,54.8
233,Brandon McManus,DEN,K,232.5,224,249,6.7
234,Van Jefferson,LAR,WR,232.9,216,263,16.5
235,Matt Gay,LAR,K,238.6,204,253,15.1
236,Bryce Young,FA,QB,216.1,126,323,57.9
237,Matt Prater,ARI,K,241.5,218,253,11.6
238,Devon Achane,FA,RB,220.5,117,318,75.8
239,Green Bay Packers,GB,DST,244.6,207,266,14.8
240,Sterling Shepard,NYG,WR,244.9,205,311,29.1
241,Sam Howell,WAS,QB,245.2,193,334,43.6
242,Cade Otton,TB,TE,245.5,209,267,14.9
243,Zack Moss,IND,RB,245.8,198,283,25.2
244,J.D. McKissic,WAS,RB,247.7,177,353,53.5
