RK,Player,Team,Position,AVG,MIN,MAX,STD DEV
259,C.J. Stroud,FA,QB,242.3,136,338,74.5
260,Kendre Miller,FA,RB,230.2,116,337,84.1
261,Miami Dolphins,MIA,DST,265.4,213,279,18.1
262,KJ Hamler,DEN,WR,266.6,240,304,15.3
263,Josh Reynolds,DET,WR,266.9,243,311,19.4
264,Graham Gano,NYG,K,258.9,241,302,18.8
265,Kenyan Drake,BAL,RB,268.3,168,321,35.1
266,Mack Hollins,LV,WR,268.3,214,306,24.2
267,Jason Myers,SEA,K,261.0,238,309,22.3
268,Tyrion Davis-Price,SF,RB,261.2,235,353,33.5
269,Kendrick Bourne,NE,WR,278.7,240,357,33.9
270,Jimmy Garoppolo,SF,QB,272.7,202,352,37.5
271,Melvin Gordon III,FA,RB,264.8,217,378,39.7
272,Kayshon Boutte,FA,WR,243.3,150,301,54.3
273,Jacksonville Jaguars,JAC,DST,275.3,246,330,24.5
274,Zach Evans,FA,RB,231.4,120,324,80.3
275,Logan Thomas,WAS,TE,267.1,236,297,18.1
276,Jordan Love,GB,QB,277.5,172,391,66.5
277,Jerome Ford,CLE,RB,285.8,238,353,30.8
278,Hassan Haskins,TEN,RB,280.7,256,329,24.3
279,Laviska Shenault Jr.,CAR,WR,282.3,263,348,21.0
280,Carolina Panthers,CAR,DST,283.9,259,309,12.2
281,Greg Joseph,MIN,K,277.2,249,285,8.3
282,Brock Purdy,SF,QB,277.3,197,334,30.7
283,Desmond Ridder,ATL,QB,277.6,247,338,35.6
284,J.D. McKissic,WAS,RB,277.8,235,369,39.6
285,Wil Lutz,NO,K,277.8,249,288,11.0
286,Austin Hooper,TEN,TE,282.1,258,335,20.4
287,Devin Duvernay,BAL,WR,282.3,261,317,15.1
288,Greg Zuerlein,NYJ,K,283.4,246,300,12.8
289,Latavius Murray,DEN,RB,283.6,237,324,21.9
290,Jonnu Smith,NE,TE,291.3,273,327,15.6
291,Quez Watkins,PHI,WR,285.9,265,322,15.1
