Player,Team,Pos,RushingAtt,RushingYds,RushingTD,Receptions,ReceivingYds,ReceivingTD,FL,PassingAtt,PassingCmp,PassingYds,PassingTD,TotalInt,TotalSacks,Int,FumblesRecovered,FumblesForced,DefensiveTDs,SafetysForced,PointsAllowed,YardsAgainst,FieldGoalsMade,FieldGoalsAttempted,ExtraPointsMade
D'Ernest Johnson,CLE,RB,32.3,191.7,1.3,8.9,71.1,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyle Juszczyk,SF,RB,12.2,38.8,0.6,24.4,200.3,1.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phillip Lindsay,IND,RB,45,226.9,1.5,3.9,29.2,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Goodson,GB,RB,0,170.3,1.6,7.8,63.8,0.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joshua Kelley,LAC,RB,45.3,208,1.2,8,58.7,0.2,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeff Wilson Jr.,SF,RB,41.4,151.3,1.3,10.1,74,0.6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Craig Reynolds,DET,RB,36.6,180.4,0.8,10.4,78.9,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Bolden,LV,RB,24.8,105.3,0.7,16.7,153.4,0.5,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Justin Jackson,DET,RB,25.1,150.5,1.1,9.5,74.7,0.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Evans,CIN,RB,27.4,100.3,0.6,15.6,112.8,0.8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tevin Coleman,NYJ,RB,24.9,171.4,0.9,8.1,54.7,0.1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Travis Homer,SEA,RB,17.2,94.2,0.6,11.6,93.2,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J.J. Taylor,NE,RB,22.4,121.9,1.4,4.3,29.3,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zack Moss,BUF,RB,30.2,136.7,1,4.7,34.5,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Duke Johnson Jr.,BUF,RB,27,123,0.9,6.9,61.1,0.2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benny Snell Jr.,PIT,RB,37.6,149,0.9,4.4,30.3,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jermar Jefferson,DET,RB,26.9,114,1.3,4.8,32.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryquell Armstead,JAC,RB,5.9,105.9,0.6,6.3,66.5,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ty Montgomery,NE,RB,17.6,71.2,0.3,15.2,118.7,0.3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pierre Strong Jr.,NE,RB,20.4,115.8,1,5.1,39.2,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dare Ogunbowale,HOU,RB,7.9,82.5,0.5,10.4,83.9,0.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myles Gaskin,MIA,RB,20.6,111.2,0.6,8.8,55.3,0.1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaylen Warren,PIT,RB,26.8,122.2,0.9,3.9,25,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony McFarland Jr.,PIT,RB,18.4,102.3,0.6,5.1,37.4,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qadree Ollison,ATL,RB,12.6,101.5,0.8,5.5,36.7,0.2,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeeJay Dallas,SEA,RB,15.9,81.8,0.6,9,61.3,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tony Jones Jr.,NO,RB,28.3,113.7,0.5,5.3,37.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Giovani Bernard,TB,RB,16.1,69.4,0.4,8,58.2,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trey Sermon,SF,RB,20.5,84.3,0.9,5.5,36.9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gary Brightwell,NYG,RB,22.7,87.1,0.7,5.9,45,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trestan Ebner,CHI,RB,7.8,69.3,0.5,6.6,50.9,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tory Carter,TEN,RB,9.5,44.5,0.5,6.9,49.7,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaret Patterson,WAS,RB,6,88.1,0.6,4.3,26.5,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keaontay Ingram,ARI,RB,25.1,102.8,0.5,3.1,25.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kene Nwangwu,MIN,RB,21.5,84.3,0.6,3.9,24.8,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Badie,BAL,RB,21.1,100.9,0.5,2.6,19.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyren Williams,LAR,RB,15.7,66.9,0.9,3.7,28.4,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JaMycal Hasty,SF,RB,15,48.4,0.6,8,57.7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Demetric Felton Jr.,CLE,RB,3.6,25,0.1,9.4,86,0.6,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darwin Thompson,SEA,RB,0,75.6,0.6,3.8,28.8,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Boone,DEN,RB,14,75,0.7,3.5,25.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darrynton Evans,CHI,RB,18.5,80,0.5,3.8,28,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Snoop Conner,JAC,RB,20.3,82.4,0.4,4.6,32.7,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abram Smith,NO,RB,20.7,85.9,0.6,1.9,13.7,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jerome Ford,CLE,RB,17,84.7,0.5,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patrick Taylor Jr.,GB,RB,5.3,66.6,0.6,3,20.5,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patrick Ricard,BAL,RB,2.7,7,0.1,10.1,68.9,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Royce Freeman,HOU,RB,15.2,61.9,0.4,4.3,27.8,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dwayne Washington,NO,RB,16.9,48.3,0.4,4.7,38.9,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C.J. Ham,MIN,RB,5.5,15.3,0.1,9.8,70.5,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
