,Player,Team,POS,RUSH_ATT,RUSH_YD,RUSH_TD,REC,REC_YD,REC_TD,FL,PASS_ATT,CMP,PASS_YD,PASS_TD,INTS
133,Derrick Gore,KC,RB,4.4,17.8,0.2,4.6,35.5,0.3,0.0,0.0,0.0,0,0.0,0.0
134,Alec Ingold,MIA,RB,4.3,14.1,0.1,5.3,41.1,0.3,0.0,0.0,0.0,0,0.0,0.0
135,Trestan Ebner,CHI,RB,7.8,32.7,0.3,2.8,20.8,0.1,0.1,0.0,0.0,0,0.0,0.0
136,Larry Rountree III,LAC,RB,8.4,35.0,0.3,2.3,16.5,0.1,0.1,0.0,0.0,0,0.0,0.0
137,Kevin Harris,NE,RB,8.3,34.6,0.3,2.0,14.5,0.1,0.0,0.0,0.0,0,0.0,0.0
138,Andrew Beck,DEN,RB,4.7,18.9,0.2,4.4,33.0,0.2,0.0,0.0,0.0,0,0.0,0.0
139,Michael Burton,KC,RB,5.8,30.0,0.3,2.6,14.8,0.2,0.0,0.0,0.0,0,0.0,0.0
140,Devine Ozigbo,DEN,RB,4.8,19.2,0.2,3.8,31.2,0.2,0.0,0.0,0.0,0,0.0,0.0
141,Giovanni Ricci,CAR,RB,4.5,18.2,0.1,4.1,31.2,0.2,0.0,0.0,0.0,0,0.0,0.0
142,Cethan Carter,MIA,RB,0.0,0.9,0.0,2.9,44.0,0.4,0.0,0.0,0.0,0,0.0,0.0
143,La'Mical Perine,NYJ,RB,4.3,17.2,0.2,3.9,26.9,0.2,0.0,0.0,0.0,0,0.0,0.0
144,Julius Chestnut,TEN,RB,4.5,19.0,0.1,3.8,27.9,0.2,0.0,0.0,0.0,0,0.0,0.0
145,Deon Jackson,IND,RB,8.5,36.3,0.3,1.0,7.1,0.0,0.1,0.0,0.0,0,0.0,0.0
146,Jason Cabinda,DET,RB,3.3,10.7,0.1,4.8,31.9,0.2,0.0,0.0,0.0,0,0.0,0.0
147,Ty Johnson,NYJ,RB,5.4,19.6,0.1,3.2,25.8,0.1,0.0,0.0,0.0,0,0.0,0.0
148,Khari Blasingame,CHI,RB,2.4,10.1,0.1,4.3,30.3,0.2,0.0,0.0,0.0,0,0.0,0.0
149,Derek Watt,PIT,RB,2.2,10.0,0.1,4.3,28.1,0.2,0.0,0.0,0.0,0,0.0,0.0
150,Jakob Johnson,LV,RB,4.0,10.1,0.1,4.8,26.2,0.2,0.0,0.0,0.0,0,0.0,0.0
151,Patrick Taylor Jr.,GB,RB,5.3,22.2,0.2,2.1,15.3,0.1,0.1,0.0,0.0,0,0.0,0.0
152,Johnny Stanton IV,CLE,RB,2.2,9.3,0.1,3.9,27.4,0.2,0.0,0.0,0.0,0,0.0,0.0
153,Adam Prentice,NO,RB,4.4,18.7,0.1,2.0,14.7,0.1,0.0,0.0,0.0,0,0.0,0.0
154,Jaylen Warren,PIT,RB,8.2,32.3,0.1,1.0,7.2,0.0,0.0,0.0,0.0,0,0.0,0.0
155,Reggie Gilliam,BUF,RB,0.0,0.0,0.0,4.4,32.5,0.2,0.0,0.0,0.0,0,0.0,0.0
156,Nick Bawden,NYJ,RB,0.0,0.0,0.0,4.3,31.4,0.2,0.0,0.0,0.0,0,0.0,0.0
157,Trayveon Williams,CIN,RB,2.9,11.9,0.1,2.8,19.4,0.1,0.0,0.0,0.0,0,0.0,0.0
158,Mekhi Sargent,JAC,RB,2.2,8.9,0.1,2.1,16.0,0.1,0.0,0.0,0.0,0,0.0,0.0
159,Godwin Igwebuike,DET,RB,2.2,9.1,0.1,2.0,15.2,0.1,0.0,0.0,0.0,0,0.0,0.0
