Player,Team,PassingAtt,Completions,PassingYds,PassingTD,Interceptions,RushingAtt,RushingYds,RushingTD,FumblesLost,Pos,Receptions,ReceivingYds,ReceivingTD
Isaiah Hodgins,NYG,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.7,WR,47.3,525.2,4.6
Tyler Higbee,LAR,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.1,TE,61.3,578.1,3.5
Greg Dulcich,DEN,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.1,TE,46.2,569.9,3.6
Rashod Bateman,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.9,WR,40.0,607.8,3.1
Tank Bigsby,JAC,0.0,0.0,0.0,0.0,0.0,108.5,434.8,2.7,0.9,RB,17.9,142.3,0.7
Gerald Everett,LAC,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.3,TE,51.1,527.8,3.7
John Metchie III,HOU,0.0,0.0,0.0,0.0,0.0,0.9,8.2,0.0,0.2,WR,43.2,561.9,2.8
Alec Pierce,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.1,WR,39.2,591.3,2.5
Juwan Johnson,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.1,TE,40.3,476.9,4.2
Dalton Kincaid,BUF,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,TE,43.0,492.2,3.9
Robert Woods,HOU,0.0,0.0,0.0,0.0,0.0,4.2,21.2,0.2,0.5,WR,53.0,543.5,2.6
Chase Claypool,CHI,0.0,0.0,0.0,0.0,0.0,5.6,37.6,0.2,0.5,WR,35.9,497.7,2.7
Cole Kmet,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.2,TE,42.9,472.4,3.8
Mecole Hardman Jr.,NYJ,0.0,0.0,0.0,0.0,0.0,7.9,60.0,0.8,0.8,WR,36.2,443.0,2.6
Russell Gage,TB,0.0,0.0,0.0,0.0,0.0,0.5,1.6,0.0,0.4,WR,55.5,548.9,2.5
Roschon Johnson,CHI,0.0,0.0,0.0,0.0,0.0,96.7,436.1,2.3,1.0,RB,9.9,104.5,0.5
Marvin Jones Jr.,DET,0.0,0.0,0.0,0.0,0.0,0.1,0.5,0.0,0.1,WR,37.9,495.8,3.2
Corey Davis,NYJ,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.2,WR,35.7,525.7,2.7
Darius Slayton,NYG,0.0,0.0,0.0,0.0,0.0,0.5,1.5,0.0,0.5,WR,35.8,545.4,2.3
Rashee Rice,KC,0.0,0.0,0.0,0.0,0.0,1.2,8.0,0.0,0.4,WR,33.5,486.3,3.0
Chase Edmonds,TB,0.0,0.0,0.0,0.0,0.0,81.6,358.3,1.8,0.4,RB,20.2,162.6,0.8
Irv Smith Jr.,CIN,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.1,TE,43.4,412.3,4.1
Mack Hollins,ATL,0.0,0.0,0.0,0.0,0.0,1.1,16.9,0.1,0.2,WR,38.8,468.0,2.9
Hunter Henry,NE,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.1,TE,41.1,484.1,2.9
Cordarrelle Patterson,ATL,0.0,0.0,0.0,0.0,0.0,72.5,309.1,2.4,0.2,RB,19.5,158.6,0.8
Allen Robinson II,PIT,0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.0,0.1,WR,39.7,487.0,2.7
Sam LaPorta,DET,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.4,TE,41.6,453.2,3.3
Joshua Kelley,LAC,0.0,0.0,0.0,0.0,0.0,93.1,380.6,2.3,1.2,RB,13.6,115.7,0.3
Noah Fant,SEA,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.1,TE,43.7,450.7,2.9
Parris Campbell,NYG,0.0,0.0,0.0,0.0,0.0,3.6,35.8,0.1,0.3,WR,38.8,451.4,2.2
Clyde Edwards-Helaire,KC,0.0,0.0,0.0,0.0,0.0,77.3,325.1,2.1,0.3,RB,13.2,115.1,0.9
Tyjae Spears,TEN,0.0,0.0,0.0,0.0,0.0,90.7,357.0,1.9,0.8,RB,15.3,128.1,0.6
Hayden Hurst,CAR,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.5,TE,46.7,445.1,3.0
Dawson Knox,BUF,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.2,TE,36.0,401.5,3.5
Zach Ertz,ARI,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.1,TE,44.8,442.4,2.8
Taysom Hill,NO,0.0,0.0,0.0,0.0,0.0,40.4,167.1,2.6,1.1,TE,14.3,192.1,1.7
Cade Otton,TB,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.1,TE,45.1,452.8,2.4
Jelani Woods,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.1,TE,34.5,419.5,2.8
Khalil Shakir,BUF,0.0,0.0,0.0,0.0,0.0,1.2,6.9,0.1,0.2,WR,32.0,446.3,2.1
Ty Chandler,MIN,0.0,0.0,0.0,0.0,0.0,87.2,321.3,2.0,0.7,RB,13.8,113.3,0.6
Tyquan Thornton,NE,0.0,0.0,0.0,0.0,0.0,3.2,14.0,0.5,0.1,WR,29.3,386.1,2.3
Tyler Conklin,NYJ,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.1,TE,45.2,424.5,2.4
Chase Brown,CIN,0.0,0.0,0.0,0.0,0.0,72.4,293.8,1.8,0.8,RB,18.0,145.5,0.6
Kyren Williams,LAR,0.0,0.0,0.0,0.0,0.0,82.9,339.0,1.4,0.5,RB,16.3,130.8,0.4
Mike Gesicki,NE,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.1,TE,35.4,404.6,2.6
