Player,Pos,Team,Current ADP
Parris Campbell,WR,NYG,202.5
New York Giants,DS,DST,206
Justyn Ross,WR,KC,206.5
Ryan Tannehill,QB,TEN,207
Marvin Mims Jr.,WR,DEN,209.5
Cincinnati Bengals,DS,DST,239.7
Marquez Valdes-Scantling,WR,KC,211.5
Green Bay Packers,DS,DST,241.7
Isaiah Hodgins,WR,NYG,216
Washington Commanders,DS,DST,243.7
Rashid Shaheed,WR,NO,219.5
Desmond Ridder,QB,ATL,221
Joshua Kelley,RB,LAC,221
Jayden Reed,WR,GB,221.5
Nick Folk,K1,NE,150
Wan'Dale Robinson,WR,NYG,223.5
Chicago Bears,DS,DST,230
Atlanta Falcons,DS,DST,153
Minnesota Vikings,DS,DST,225
Graham Gano,K1,NYG,249.3
Hunter Renfrow,WR,LV,226
Matt Gay,K1,IND,251
Greg Zuerlein,K1,NYJ,228.5
Curtis Samuel,WR,WAS,229
Cleveland Browns,DS,DST,230
Ty Chandler,RB,MIN,234
Baker Mayfield,QB,TB,236
Matt Prater,K1,ARI,181
Isaiah Likely,TE,BAL,240.5
Kyren Williams,RB,LAR,241
Chase Edmonds,RB,TB,248.5
Chase Claypool,WR,CHI,249
Robert Woods,WR,HOU,250
Cole Beasley,WR,NYG,205
Trey McBride,TE,ARI,251.5
Mecole Hardman Jr.,WR,NYJ,252.5
Darius Slayton,WR,NYG,252.5
Michael Badgley,K1,WAS,209
Wil Lutz,K2,NO,254.5
Josh Downs,WR,IND,255.5
Zach Evans,RB,LAR,255.5
Greg Joseph,K2,MIN,256
Noah Fant,TE,SEA,256.5
DeVante Parker,WR,NE,257
DeWayne McBride,RB,MIN,264.5
Chris Boswell,K2,PIT,218
Riley Patterson,K2,DET,260.5
Israel Abanikanda,RB,NYJ,265
Los Angeles Rams,DS,DST,227
Colt McCoy,QB,ARI,228
Joshua Palmer,WR,LAC,262.5
Jelani Woods,TE,IND,262.5
Tampa Bay Buccaneers,DS,DST,263
Sterling Shepard,WR,NYG,230
Kyle Trask,QB,TB,231
Pierre Strong Jr.,RB,NE,264
Indianapolis Colts,DS,DST,233
Carolina Panthers,DS,DST,265
Robbie Gould,K2,,235
Davis Mills,QB,HOU,236
Richie James Jr.,WR,KC,266.5
Allen Robinson II,WR,PIT,266.5
Detroit Lions,DS,DST,268
Eddy Pineiro,K2,CAR,238
Michael Wilson,WR,ARI,267.5
Cade Otton,TE,TB,267.5
Puka Nacua,WR,LAR,272.5
Mike White,QB,MIA,240
Deon Jackson,RB,IND,242
Gardner Minshew II,QB,IND,243
Terrace Marshall Jr.,WR,CAR,271
Logan Thomas,TE,WAS,272.5
Jacoby Brissett,QB,WAS,249
Mack Hollins,WR,ATL,254
Khalil Shakir,WR,BUF,286
Evan Hull,RB,IND,276
Sean Tucker,RB,TB,276
Will Levis,QB,TEN,256
Tyquan Thornton,WR,NE,281.5
Latavius Murray,RB,BUF,264
Zack Moss,RB,IND,281.5
Deneric Prince,RB,KC,267
Malik Davis,RB,DAL,290
Darnell Washington,TE,PIT,272
Eric Gray,RB,NYG,274
Keaontay Ingram,RB,ARI,297.5
Cedric Tillman,WR,CLE,299.5
Marvin Jones Jr.,WR,DET,278
Cade York,K2,CLE,278
Los Angeles Chargers,DS,DST,280
Corey Davis,WR,NYJ,295
Greg Dortch,WR,ARI,281
Adrian Martinez,QB,DET,282
John Lovett,QB,,283
Cephus Johnson III,WR,TB,284
Braydon Johnson,WR,,285
Luke Schoonmaker,TE,DAL,285
Ryan Willis,QB,,286
Brycen Hopkins,TE,LAR,287
Duke Johnson Jr.,RB,,288
J.D. McKissic,RB,,288
David Johnson,RB,,289
Jamal Pettigrew,TE,,290
Jacob Eason,QB,,291
Mark Vital Jr.,TE,,293
Calvin Austin III,WR,PIT,293
Malcolm Johnson,RB,,294
Josh Johnson,QB,BAL,295
Melvin Gordon III,RB,BAL,295
Drew Plitt,QB,,296
Matt McCrane,K2,,298
James Robinson,RB,NYG,299
D'Ernest Johnson,RB,JAC,302
Jarvis Landry,WR,,303
Chad Ryland,K2,NE,305
Justice Hill,RB,BAL,307
Kenyan Drake,RB,IND,308
Ke'Shawn Vaughn,RB,TB,313
Noah Gray,TE,KC,314
Matt Breida,RB,NYG,315
Isaiah Spiller,RB,LAC,316
Chris Evans,RB,CIN,317
Raheem Blackshear,RB,CAR,319
Dontrell Hilliard,RB,,321
Jordan Mason,RB,SF,323
Rico Dowdle,RB,DAL,324
Tyrion Davis-Price,RB,SF,325
Trayveon Williams,RB,CIN,326
Chris Rodriguez Jr.,RB,WAS,327
Trey Palmer,WR,TB,328
