Rank,Player,Team,Pos,ESPN,Fantrax,Sleeper,AVG
323,Foster Moreau,LV,TE,,294.0,,284.0
324,Justyn Ross,KC,WR,,269.0,,269.0
325,Nick Westbrook-Ikhine,TEN,WR,,387.0,269.0,328.0
326,Jalen Guyton,LAC,WR,,270.0,,270.0
327,Adam Trautman,NO,TE,,271.0,,271.0
328,Bryan Edwards,ATL,WR,,374.0,271.0,322.5
329,Brandon Bolden,LV,RB,,382.0,,326.5
330,Abram Smith,NO,RB,,272.0,,272.0
331,John Metchie III,HOU,WR,,418.0,272.0,345.0
332,Drew Lock,SEA,QB,,364.0,,318.5
333,Sterling Shepard,NYG,WR,,274.0,,274.0
334,Rodney Adams,,WR,,,275.0,275.0
335,Geno Smith,SEA,QB,,276.0,,276.0
336,Preston Williams,MIA,WR,,,276.0,276.0
337,Garrett Dickerson,,TE,,,277.0,277.0
338,Gerrit Prince,JAC,TE,,,278.0,278.0
339,Tony Jones Jr.,NO,RB,,279.0,,279.0
340,Giovanni Ricci,CAR,TE,,,279.0,279.0
341,Ka'imi Fairbairn,HOU,K,,,,280.0
342,Germone Hopper,,WR,,,280.0,280.0
343,Marcus Johnson,SF,WR,,,281.0,281.0
344,Pierre Strong Jr.,NE,RB,,287.0,,291.0
345,O.J. Howard,BUF,TE,,316.0,,298.5
346,Benny Snell Jr.,PIT,RB,,398.0,,340.0
347,Houston Texans,DST,DST,,,,283.0
348,James Washington,DAL,WR,,283.0,,283.0
349,Velus Jones Jr.,CHI,WR,,303.0,,293.0
350,Jacksonville Jaguars,DST,DST,,,,284.0
351,Teddy Bridgewater,MIA,QB,,,,285.0
352,Kyle Philips,TEN,WR,,285.0,,285.0
353,Isaiah Likely,BAL,TE,,405.0,,345.0
354,Blake Bell,KC,TE,,,,286.0
355,Jacoby Brissett,CLE,QB,,288.0,,288.0
356,Kyren Williams,LAR,RB,,306.0,,297.0
357,Jauan Jennings,SF,WR,,322.0,,305.5
358,Demarcus Robinson,BAL,WR,,290.0,,290.0
359,Malik Willis,TEN,QB,,325.0,,308.0
360,Marcedes Lewis,GB,TE,,,,292.0
361,J.J. Taylor,NE,RB,,,,294.0
362,Cade Otton,TB,TE,,295.0,,295.0
363,Derrick Gore,KC,RB,,378.0,,336.5
364,Ricky Seals-Jones,NYG,TE,,296.0,,296.0
365,Quintez Cephus,DET,WR,,,,296.0
366,DeeJay Dallas,SEA,RB,,401.0,,349.0
367,Desmond Ridder,ATL,QB,,298.0,,298.0
368,Calvin Austin III,PIT,WR,,300.0,,300.0
369,Tommy Tremble,CAR,TE,,353.0,,326.5
370,Daniel Bellinger,NYG,TE,,302.0,,302.0
371,Duke Johnson Jr.,BUF,RB,,310.0,,310.0
372,Josh Reynolds,DET,WR,,311.0,,311.0
373,Rashard Higgins,CAR,WR,,312.0,,312.0
374,Snoop Conner,JAC,RB,,314.0,,314.0
375,Jerrion Ealy,KC,RB,,317.0,,317.0
376,David Johnson,,RB,,318.0,,318.0
377,Josiah Deguara,GB,TE,,319.0,,319.0
378,Antonio Brown,,WR,,321.0,,321.0
379,Danny Gray,SF,WR,,324.0,,324.0
380,Cam Sims,WAS,WR,,328.0,,328.0
381,Jaelon Darden,TB,WR,,330.0,,330.0
382,Josh Gordon,KC,WR,,332.0,,332.0
383,N'Keal Harry,CHI,WR,,333.0,,333.0
384,Jalen Nailor,MIN,WR,,335.0,,335.0
385,James Proche II,BAL,WR,,336.0,,336.0
386,Jody Fortson,KC,WR,,338.0,,338.0
387,Jake Kumerow,BUF,WR,,340.0,,340.0
388,Jake Funk,LAR,RB,,343.0,,343.0
389,Emmanuel Sanders,,WR,,344.0,,344.0
390,Marquise Goodwin,SEA,WR,,345.0,,345.0
391,Cole Beasley,,WR,,346.0,,346.0
392,Devontae Booker,,RB,,347.0,,347.0
393,Andy Dalton,NO,QB,,349.0,,349.0
394,Devonta Freeman,,RB,,351.0,,351.0
395,Zach Pascal,PHI,WR,,352.0,,352.0
396,T.Y. Hilton,,WR,,354.0,,354.0
397,Khalil Shakir,BUF,WR,,357.0,,357.0
398,Greg Dulcich,DEN,TE,,358.0,,358.0
399,Anthony McFarland Jr.,PIT,RB,,361.0,,361.0
400,Jordan Howard,,RB,,362.0,,362.0
401,Latavius Murray,,RB,,363.0,,363.0
402,Wayne Gallman Jr.,,RB,,365.0,,365.0
403,Michael Badgley,,K,,367.0,,367.0
404,Jaret Patterson,WAS,RB,,371.0,,371.0
405,Kai Forbath,LAR,K,,372.0,,372.0
406,Dan Arnold,JAC,TE,,373.0,,373.0
407,Tre'Quan Smith,NO,WR,,375.0,,375.0
408,Giovani Bernard,TB,RB,,377.0,,377.0
409,Jared Cook,,TE,,379.0,,379.0
410,Kalif Raymond,DET,WR,,380.0,,380.0
411,Sam Darnold,CAR,QB,,384.0,,384.0
412,Tevin Coleman,NYJ,RB,,386.0,,386.0
413,Breshad Perriman,TB,WR,,388.0,,388.0
