PlayerID,Player,Position,Tm,PassingYds,PassingAirYards,PassingYAC,PassingTD,Sacks,SackYards,Int,PassingAtt,Cmp,PassingFirstDown,PassingEPA,Passing2PC,RushingAtt,RushingYds,RushingTD,RushingFirstDown,RushingEPA,Rushing2PC,Receptions,Targets,ReceivingYards,ReceivingTDs,ReceivingAirYards,ReceivingYAC,ReceivingFirstDown,ReceivingEPA,Receiving2PC,TargetShare,AirYardsShare,WOPR,SpecialTeamsTD,FumblesLost,StandardFantasyPoints,PPRFantasyPoints,HalfPPRFantasyPoints
00-0034646,Brandon Powell,WR,LA,0,0,0,0,0,0,0,0,0,0,0.0,0,1,3,0,0,0.52752036,0,1,1,10,0,3,7,1,0.8180545,0,0.024390243,0.012552301,0.045371976,0,0,1.3,2.3,1.8
00-0034681,Chase Edmonds,RB,MIA,0,0,0,0,0,0,0,0,0,0,0.0,0,12,25,0,0,-4.880613,0,4,4,40,0,17,23,3,4.3635154,0,0.12903225,0.06538462,0.23931761,0,0,6.5,10.5,8.5
00-0034750,Rashaad Penny,RB,SEA,0,0,0,0,0,0,0,0,0,0,0.0,0,12,60,0,2,0.81815565,0,2,3,7,0,-8,15,1,0.012824935,0,0.11111111,-0.05925926,0.12518519,0,0,6.7,8.7,7.7
00-0034753,Mark Andrews,TE,BAL,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,5,7,52,0,99,11,3,3.7785327,0,0.2413793,0.28125,0.558944,0,0,5.2,10.2,7.7
00-0034775,Christian Kirk,WR,JAX,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,6,12,117,0,128,50,3,3.2825365,0,0.31578946,0.35261708,0.72051615,0,0,11.7,17.7,14.7
00-0034777,D.J. Chark,WR,DET,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,4,8,52,1,124,16,3,3.8540633,0,0.21621622,0.40522876,0.6079845,0,0,11.2,15.2,13.2
00-0034791,Nick Chubb,RB,CLE,0,0,0,0,0,0,0,0,0,0,0.0,0,22,141,0,6,4.899972,0,1,1,2,0,-7,9,0,-0.71084845,0,0.033333335,-0.030837005,0.028414097,0,0,14.3,15.3,14.8
00-0034796,Lamar Jackson,QB,BAL,213,360,66,3,2,2,1,30,17,8,4.2396526,0,6,17,0,2,0.25962442,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,20.22,20.22,20.22
00-0034798,Durham Smythe,TE,MIA,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,1,2,14,0,12,2,1,0.35630065,0,0.06451613,0.046153847,0.12908189,0,0,1.4,2.4,1.9
00-0034827,D.J. Moore,WR,CAR,0,0,0,0,0,0,0,0,0,0,0.0,0,1,7,0,0,0.3785085,0,3,6,43,0,53,17,2,0.7597737,0,0.23076923,0.31736526,0.56830955,0,0,5.0,8.0,6.5
00-0034829,Mike Gesicki,TE,MIA,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,1,1,1,0,0,1,0,-0.54931736,0,0.032258064,0.0,0.048387095,0,0,0.1,1.1,0.6
00-0034830,Hayden Hurst,TE,CIN,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,5,8,46,0,26,22,3,-3.287813,0,0.1509434,0.072829135,0.2773955,0,0,4.6,9.6,7.1
00-0034844,Saquon Barkley,RB,NYG,0,0,0,0,0,0,0,0,0,0,0.0,0,18,164,1,7,7.3739467,0,6,7,30,0,-4,42,0,-5.1863246,1,0.33333334,-0.033333335,0.47666666,0,0,27.4,33.4,30.4
